Bioproject id, organism 
PRJNA201364, Vibrio cholerae CP1113
PRJNA201365, Vibrio cholerae CP1114
PRJNA201366, Vibrio cholerae CP1117
PRJNA201360, Vibrio cholerae CP1110
PRJNA201361, Vibrio cholerae CP1115
PRJNA201362, Vibrio cholerae CP1111
PRJNA201363, Vibrio cholerae CP1112
PRJNA201368, Vibrio cholerae CP1116
54329, Vibrio cholerae V51
181805, Vibrio cholerae HC-57A1
181802, Vibrio cholerae HC-55A1
181803, Vibrio cholerae HC-56A1
181800, Vibrio cholerae HC-51A1
181801, Vibrio cholerae HC-52A1
181799, Vibrio cholerae HC-50A1
181733, Vibrio cholerae HC-02C1
181738, Vibrio cholerae HC-59B1
181737, Vibrio cholerae HC-55B2
181727, Vibrio cholerae HC-59A1
181726, Vibrio cholerae HC-55C2
181728, Vibrio cholerae HC-60A1
181731, Vibrio cholerae HE-40
181732, Vibrio cholerae HE-46
54587, Vibrio cholerae MZO-2
195205, Vibrio cholerae O1 str. 116063
PRJNA190225, Vibrio cholerae O1 str. Amazonia
181722, Vibrio cholerae CP1035(8)
181808, Vibrio cholerae HE-16
PRJNA224116, 195206 Vibrio cholerae O1 str. 87395
PRJNA54327, Vibrio cholerae RC385
54487, Vibrio cholerae AM-19226
195223, Vibrio cholerae O1 str. EM-1676A
54585, Vibrio cholerae 623-39
195215, Vibrio cholerae O1 str. EC-0051
195212, Vibrio cholerae O1 str. EC-0012
195210, Vibrio cholerae O1 str. AG-8040
195211, Vibrio cholerae O1 str. EC-0009
181564, Vibrio cholerae HC-38A1
181561, Vibrio cholerae HFU-02
181789, Vibrio cholerae CP1030(3)
195208, Vibrio cholerae O1 str. AG-7404
195207, Vibrio cholerae O1 str. 95412
195203, Vibrio cholerae O1 str. 116059
181559, Vibrio cholerae HC-70A1
PRJNA57623, Vibrio cholerae O1 biovar El Tor str. N16961
181734, Vibrio cholerae HC-17A2
181735, Vibrio cholerae HC-37A1
PRJNA190359, Vibrio cholerae 2011EL-301
181739, Vibrio cholerae HC-62B1
PRJNA190214, Vibrio cholerae O1 str. 2010EL-1792
PRJNA190522, Vibrio cholerae VC4370
195227, Vibrio cholerae O1 str. NHCC-006C
195220, Vibrio cholerae O1 str. EM-1546
189024, Vibrio cholerae O1 str. Inaba G4222
181725, Vibrio cholerae HC-50A2
181729, Vibrio cholerae HC-62A1
181603, Vibrio cholerae HC-19A1
181604, Vibrio cholerae HC-21A1
181605, Vibrio cholerae HC-22A1
181606, Vibrio cholerae HC-32A1
PRJNA58425, Vibrio cholerae O395
54589, Vibrio cholerae NCTC 8457
PRJNA190521, Vibrio cholerae VC1761
181740, Vibrio cholerae HC-69A1
183745, Vibrio cholerae HC-71A1
183746, Vibrio cholerae HC-72A2
183741, Vibrio cholerae HC-64A1
183742, Vibrio cholerae HC-65A1
183743, Vibrio cholerae HC-67A1
78933, Vibrio cholerae O1 str. 2010EL-1786
PRJNA198283, Vibrio cholerae P-18785
181608, Vibrio cholerae HC-48B2
181607, Vibrio cholerae HC-33A2
195222, Vibrio cholerae O1 str. EM-1626
195224, Vibrio cholerae O1 str. EM-1727
59355, Vibrio cholerae M66-2
195226, Vibrio cholerae O1 str. NHCC-004A
PRJNA190213, Vibrio cholerae O1 str. 2010EL-1798
195234, Vibrio cholerae O1 str. PCS-023
195232, Vibrio cholerae O1 str. Nep-21113
195231, Vibrio cholerae O1 str. Nep-21106
195230, Vibrio cholerae O1 str. NHCC-010F
195214, Vibrio cholerae O1 str. EC-0027
195216, Vibrio cholerae O1 str. EDC-020
195219, Vibrio cholerae O1 str. EM-1536
195218, Vibrio cholerae O1 str. EDC-022
181798, Vibrio cholerae HC-47A1
181795, Vibrio cholerae HC-39A1
181794, Vibrio cholerae CP1050(23)
181797, Vibrio cholerae HC-42A1
181796, Vibrio cholerae HC-41A1
181791, Vibrio cholerae CP1040(13)
181793, Vibrio cholerae CP1047(20)
159869, Vibrio cholerae O395
59387, Vibrio cholerae MJ-1236
181804, Vibrio cholerae HC-56A2
181807, Vibrio cholerae HC-81A2
181806, Vibrio cholerae HC-57A2
54325, Vibrio cholerae MO10
PRJNA54571, Vibrio cholerae MAK 757
54591, Vibrio cholerae B33
190379, Vibrio cholerae H1
PRJNA183744, Vibrio cholerae HC-68A1
181792, Vibrio cholerae CP1044(17)
